Gmt time,Open,High,Low,Close,Volume
06.01.2017 00:00:00.000,1.06040,1.06234,1.05251,1.05346,235260.8438
08.01.2017 00:00:00.000,1.05308,1.05365,1.05262,1.05298,4960.8398
09.01.2017 00:00:00.000,1.05300,1.05896,1.05111,1.05863,218639.5625
10.01.2017 00:00:00.000,1.05862,1.06274,1.05511,1.05524,237821.4219
11.01.2017 00:00:00.000,1.05523,1.06232,1.04539,1.05945,290868.4063
12.01.2017 00:00:00.000,1.05946,1.06848,1.05718,1.06163,281456.8438
13.01.2017 00:00:00.000,1.06159,1.06738,1.05963,1.06481,234200.2344
15.01.2017 00:00:00.000,1.06104,1.06359,1.06093,1.06278,7039.3398
16.01.2017 00:00:00.000,1.06278,1.06347,1.05794,1.06027,173046.7344
17.01.2017 00:00:00.000,1.06026,1.07193,1.06009,1.06967,280972.5
18.01.2017 00:00:00.000,1.06968,1.07126,1.06247,1.06285,247490.3906
19.01.2017 00:00:00.000,1.06285,1.06769,1.05894,1.06596,276701.5
20.01.2017 00:00:00.000,1.06597,1.07097,1.06253,1.07044,226629.875
22.01.2017 00:00:00.000,1.07034,1.07172,1.06960,1.07129,7218.1299
23.01.2017 00:00:00.000,1.07128,1.07731,1.07065,1.07595,220764.4531
24.01.2017 00:00:00.000,1.07594,1.07750,1.07205,1.07286,198854.1094
25.01.2017 00:00:00.000,1.07287,1.07699,1.07115,1.07529,241525.8438
26.01.2017 00:00:00.000,1.07529,1.07658,1.06578,1.06837,245122.3438
27.01.2017 00:00:00.000,1.06835,1.07251,1.06586,1.07000,216898.4375
29.01.2017 00:00:00.000,1.07232,1.07233,1.07084,1.07175,7231.02
30.01.2017 00:00:00.000,1.07175,1.07405,1.06204,1.07079,223996.9531
31.01.2017 00:00:00.000,1.07080,1.08124,1.06848,1.08012,285766
01.02.2017 00:00:00.000,1.08010,1.08076,1.07317,1.07655,253059.0625
02.02.2017 00:00:00.000,1.07656,1.08290,1.07561,1.07621,248992.125
03.02.2017 00:00:00.000,1.07621,1.07976,1.07134,1.07876,233003.4063
05.02.2017 00:00:00.000,1.07903,1.07934,1.07783,1.07828,4084.1201
06.02.2017 00:00:00.000,1.07828,1.07889,1.07060,1.07434,225770.9219
07.02.2017 00:00:00.000,1.07435,1.07448,1.06563,1.06789,235289.9688
08.02.2017 00:00:00.000,1.06790,1.07141,1.06409,1.06918,239782.375
09.02.2017 00:00:00.000,1.06917,1.07097,1.06511,1.06577,224900.5313
10.02.2017 00:00:00.000,1.06575,1.06680,1.06079,1.06427,230733.0781
12.02.2017 00:00:00.000,1.06292,1.06382,1.06178,1.06191,5538.0098
13.02.2017 00:00:00.000,1.06189,1.06586,1.05922,1.05991,205467.4375
14.02.2017 00:00:00.000,1.05990,1.06335,1.05610,1.05785,220620.4375
15.02.2017 00:00:00.000,1.05785,1.06094,1.05216,1.06034,237565.8438
16.02.2017 00:00:00.000,1.06034,1.06795,1.06001,1.06714,244667.6875
17.02.2017 00:00:00.000,1.06710,1.06769,1.06056,1.06151,212225.3594
19.02.2017 00:00:00.000,1.06094,1.06331,1.06087,1.06255,8377.2598
20.02.2017 00:00:00.000,1.06252,1.06301,1.06034,1.06090,140458.7188
21.02.2017 00:00:00.000,1.06091,1.06129,1.05259,1.05414,231237.8438
22.02.2017 00:00:00.000,1.05414,1.05741,1.04939,1.05509,279142.5
23.02.2017 00:00:00.000,1.05509,1.05953,1.05378,1.05842,239353.5469
24.02.2017 00:00:00.000,1.05843,1.06181,1.05570,1.05630,238285.0938
26.02.2017 00:00:00.000,1.05645,1.05656,1.05521,1.05523,10112.7197
27.02.2017 00:00:00.000,1.05523,1.06307,1.05519,1.05841,219948.1094
28.02.2017 00:00:00.000,1.05841,1.06302,1.05669,1.05694,252668.2656
01.03.2017 00:00:00.000,1.05693,1.05898,1.05143,1.05363,282398.875
02.03.2017 00:00:00.000,1.05364,1.05457,1.04950,1.05074,243400.6094
03.03.2017 00:00:00.000,1.05074,1.06252,1.05025,1.06250,232556.8438
05.03.2017 00:00:00.000,1.06103,1.06220,1.06009,1.06213,8340.7803
06.03.2017 00:00:00.000,1.06213,1.06402,1.05748,1.05796,194227.2188
07.03.2017 00:00:00.000,1.05794,1.06028,1.05585,1.05696,189253.1406
08.03.2017 00:00:00.000,1.05697,1.05744,1.05351,1.05451,202850.9531
09.03.2017 00:00:00.000,1.05452,1.06153,1.05253,1.05798,226569.6875
10.03.2017 00:00:00.000,1.05797,1.06993,1.05784,1.06763,204817.0156
12.03.2017 00:00:00.000,1.06821,1.06930,1.06788,1.06899,6975.2002
13.03.2017 00:00:00.000,1.06899,1.07146,1.06451,1.06512,204538.625
14.03.2017 00:00:00.000,1.06513,1.06627,1.06004,1.06124,178706.0781
15.03.2017 00:00:00.000,1.06125,1.07403,1.06075,1.07380,214877.9531
16.03.2017 00:00:00.000,1.07379,1.07747,1.07060,1.07722,239729.9844
17.03.2017 00:00:00.000,1.07720,1.07826,1.07277,1.07390,195008.7344
19.03.2017 00:00:00.000,1.07356,1.07453,1.07348,1.07427,4581.8599
20.03.2017 00:00:00.000,1.07427,1.07776,1.07194,1.07372,177241.9844
21.03.2017 00:00:00.000,1.07371,1.08195,1.07357,1.08128,226021.0781
22.03.2017 00:00:00.000,1.08128,1.08250,1.07761,1.07897,221633.5156
23.03.2017 00:00:00.000,1.07896,1.08051,1.07684,1.07837,214173.4844
24.03.2017 00:00:00.000,1.07836,1.08182,1.07605,1.08004,186071.3594
26.03.2017 00:00:00.000,1.08428,1.08498,1.08280,1.08457,14389.9004
27.03.2017 00:00:00.000,1.08457,1.09060,1.08381,1.08613,186578.1563
