Local time,Open,High,Low,Close,Volume
06.10.2018 19:00:00.000 GMT-0500,1.15248,1.15289,1.15202,1.15241,7846.8901
07.10.2018 19:00:00.000 GMT-0500,1.15241,1.15299,1.14602,1.14944,185645.3438
08.10.2018 19:00:00.000 GMT-0500,1.14943,1.15090,1.14324,1.15051,263271.1563
09.10.2018 19:00:00.000 GMT-0500,1.15049,1.15454,1.14801,1.15335,244674.6719
10.10.2018 19:00:00.000 GMT-0500,1.15333,1.15996,1.15314,1.15903,296904.625
11.10.2018 19:00:00.000 GMT-0500,1.15901,1.16107,1.15345,1.15626,228386.4063
13.10.2018 19:00:00.000 GMT-0500,1.15448,1.15538,1.15435,1.15506,9787.9404
14.10.2018 19:00:00.000 GMT-0500,1.15506,1.16063,1.15433,1.15832,240588.9063
15.10.2018 19:00:00.000 GMT-0500,1.15830,1.16215,1.15662,1.15766,218541
16.10.2018 19:00:00.000 GMT-0500,1.15767,1.15808,1.14958,1.15015,258515.6563
17.10.2018 19:00:00.000 GMT-0500,1.15015,1.15275,1.14494,1.14542,254121.9688
18.10.2018 19:00:00.000 GMT-0500,1.14543,1.15349,1.14332,1.15156,245465.5938
20.10.2018 19:00:00.000 GMT-0500,1.15177,1.15182,1.15088,1.15109,8441.8096
21.10.2018 19:00:00.000 GMT-0500,1.15109,1.15502,1.14560,1.14647,226391.5156
22.10.2018 19:00:00.000 GMT-0500,1.14647,1.14936,1.14395,1.14711,257694.7969
23.10.2018 19:00:00.000 GMT-0500,1.14711,1.14767,1.13792,1.13991,263498.0313
24.10.2018 19:00:00.000 GMT-0500,1.13991,1.14329,1.13563,1.13757,252711.7969
25.10.2018 19:00:00.000 GMT-0500,1.13757,1.14212,1.13359,1.14044,265238.125
27.10.2018 19:00:00.000 GMT-0500,1.13944,1.14043,1.13940,1.13983,8074.6899
28.10.2018 18:00:00.000 GMT-0600,1.13984,1.14168,1.13609,1.13760,257340.8281
29.10.2018 18:00:00.000 GMT-0600,1.13760,1.13880,1.13406,1.13457,226853.1875
30.10.2018 18:00:00.000 GMT-0600,1.13454,1.13602,1.13024,1.13148,252156.25
31.10.2018 18:00:00.000 GMT-0600,1.13148,1.14244,1.13130,1.14032,242090.7344
01.11.2018 18:00:00.000 GMT-0600,1.14032,1.14561,1.13725,1.13881,236396.875
03.11.2018 18:00:00.000 GMT-0600,1.13886,1.13998,1.13880,1.13978,10332.9199
04.11.2018 18:00:00.000 GMT-0600,1.13979,1.14241,1.13534,1.14087,221000.875
05.11.2018 18:00:00.000 GMT-0600,1.14087,1.14421,1.13917,1.14416,223145.2656
06.11.2018 18:00:00.000 GMT-0600,1.14415,1.14998,1.13950,1.14329,301569.8125
07.11.2018 18:00:00.000 GMT-0600,1.14330,1.14467,1.13519,1.13683,253139.2656
08.11.2018 18:00:00.000 GMT-0600,1.13683,1.13692,1.13164,1.13374,233834.4375
10.11.2018 18:00:00.000 GMT-0600,1.13255,1.13315,1.13151,1.13240,11693.8701
11.11.2018 18:00:00.000 GMT-0600,1.13242,1.13308,1.12158,1.12239,235386.5625
12.11.2018 18:00:00.000 GMT-0600,1.12239,1.13216,1.12221,1.13116,293925.5938
13.11.2018 18:00:00.000 GMT-0600,1.13116,1.13479,1.12634,1.13124,294858.75
14.11.2018 18:00:00.000 GMT-0600,1.13125,1.13626,1.12709,1.13248,301709.5313
15.11.2018 18:00:00.000 GMT-0600,1.13248,1.14208,1.13220,1.14198,250664.1719
17.11.2018 18:00:00.000 GMT-0600,1.14151,1.14215,1.14066,1.14140,10852.9297
18.11.2018 18:00:00.000 GMT-0600,1.14139,1.14646,1.13942,1.14543,215333.125
19.11.2018 18:00:00.000 GMT-0600,1.14544,1.14725,1.13589,1.13725,243658.9844
20.11.2018 18:00:00.000 GMT-0600,1.13725,1.14249,1.13658,1.13891,237219.7031
21.11.2018 18:00:00.000 GMT-0600,1.13891,1.14342,1.13857,1.14031,171258.5625
22.11.2018 18:00:00.000 GMT-0600,1.14031,1.14213,1.13280,1.13420,309152.5313
24.11.2018 18:00:00.000 GMT-0600,1.13420,1.13427,1.13311,1.13379,8705.6699
25.11.2018 18:00:00.000 GMT-0600,1.13380,1.13839,1.13251,1.13334,225346
26.11.2018 18:00:00.000 GMT-0600,1.13335,1.13440,1.12776,1.12974,270933.625
27.11.2018 18:00:00.000 GMT-0600,1.12975,1.13878,1.12674,1.13677,262112.75
28.11.2018 18:00:00.000 GMT-0600,1.13676,1.14019,1.13490,1.13929,271028.3438
29.11.2018 18:00:00.000 GMT-0600,1.13930,1.14006,1.13057,1.13229,259346.0625
01.12.2018 18:00:00.000 GMT-0600,1.13541,1.13541,1.13284,1.13425,11483.54
02.12.2018 18:00:00.000 GMT-0600,1.13423,1.13799,1.13196,1.13546,233948.4531
03.12.2018 18:00:00.000 GMT-0600,1.13545,1.14189,1.13189,1.13429,285537.8438
