Local time,Open,High,Low,Close,Volume
26.02.2018 22:00:00.000 GMT-0600,1.23246,1.23451,1.23201,1.23408,30038.3398
27.02.2018 02:00:00.000 GMT-0600,1.23410,1.23466,1.23133,1.23175,49494.3301
27.02.2018 06:00:00.000 GMT-0600,1.23175,1.23213,1.22217,1.22393,75254.2177
27.02.2018 10:00:00.000 GMT-0600,1.22392,1.22550,1.22256,1.22361,58683.670999999995
27.02.2018 14:00:00.000 GMT-0600,1.22360,1.22404,1.22258,1.22263,19341.5197
27.02.2018 18:00:00.000 GMT-0600,1.22262,1.22380,1.22154,1.22239,33124.2201
27.02.2018 22:00:00.000 GMT-0600,1.22239,1.22413,1.22185,1.22240,34396.5708
28.02.2018 02:00:00.000 GMT-0600,1.22239,1.22301,1.21990,1.22183,54697.8399
28.02.2018 06:00:00.000 GMT-0600,1.22185,1.22283,1.21881,1.21961,155110.1103
28.02.2018 10:00:00.000 GMT-0600,1.21963,1.22224,1.21936,1.22034,45456.6104
28.02.2018 14:00:00.000 GMT-0600,1.22036,1.22047,1.21906,1.21918,22792.4097
28.02.2018 18:00:00.000 GMT-0600,1.21918,1.21986,1.21839,1.21960,30510.9102
28.02.2018 22:00:00.000 GMT-0600,1.21960,1.22132,1.21879,1.22005,31235.5307
01.03.2018 02:00:00.000 GMT-0600,1.22007,1.22061,1.21802,1.21849,47905.2295
01.03.2018 06:00:00.000 GMT-0600,1.21848,1.22057,1.21548,1.21768,66565.3204
01.03.2018 10:00:00.000 GMT-0600,1.21766,1.22587,1.21719,1.22554,70647.86910000001
01.03.2018 14:00:00.000 GMT-0600,1.22551,1.22751,1.22526,1.22714,29381.308800000003
01.03.2018 18:00:00.000 GMT-0600,1.22712,1.22817,1.22621,1.22805,30126.9194
01.03.2018 22:00:00.000 GMT-0600,1.22805,1.22879,1.22517,1.22635,36143.0302
02.03.2018 02:00:00.000 GMT-0600,1.22633,1.23228,1.22548,1.23041,55218.459
02.03.2018 06:00:00.000 GMT-0600,1.23041,1.23329,1.22943,1.23094,68000.7188
02.03.2018 10:00:00.000 GMT-0600,1.23094,1.23311,1.23044,1.23310,55901.8593
02.03.2018 14:00:00.000 GMT-0600,1.23317,1.23361,1.23183,1.23203,16612.5103
04.03.2018 14:00:00.000 GMT-0600,1.23296,1.23652,1.23000,1.23179,17755.1899
04.03.2018 18:00:00.000 GMT-0600,1.23179,1.23381,1.23165,1.23271,29831.5504
04.03.2018 22:00:00.000 GMT-0600,1.23271,1.23278,1.22691,1.22849,38801.82
05.03.2018 02:00:00.000 GMT-0600,1.22848,1.23346,1.22828,1.23014,55144.08010000001
05.03.2018 06:00:00.000 GMT-0600,1.23019,1.23298,1.22844,1.23276,60033.0898
05.03.2018 10:00:00.000 GMT-0600,1.23277,1.23489,1.23207,1.23255,47671.1494
05.03.2018 14:00:00.000 GMT-0600,1.23256,1.23398,1.23228,1.23369,18242.7603
05.03.2018 18:00:00.000 GMT-0600,1.23369,1.23632,1.23353,1.23497,30544.8398
05.03.2018 22:00:00.000 GMT-0600,1.23499,1.23558,1.23283,1.23336,37268.0996
06.03.2018 02:00:00.000 GMT-0600,1.23336,1.24001,1.23301,1.23974,52867.628800000006
06.03.2018 06:00:00.000 GMT-0600,1.23975,1.24145,1.23868,1.23978,58418.2998
06.03.2018 10:00:00.000 GMT-0600,1.23980,1.24202,1.23890,1.24060,47317.56
06.03.2018 14:00:00.000 GMT-0600,1.24059,1.24292,1.23996,1.24160,27275.8793
06.03.2018 18:00:00.000 GMT-0600,1.24156,1.24270,1.24104,1.24192,37806.6299
